Subject	Start date	Start time
士師10-11 ルカ12:22-40	4/12/2017	6:00 AM
士師12-14 ルカ12:41-59	4/13/2017	6:00 AM
士師15-16 ルカ13:1-21	4/14/2017	6:00 AM
士師17-19 ルカ13:22-14:11	4/15/2017	6:00 AM
士師20-21 ルカ14:12-35	4/16/2017	6:00 AM
ルツ1-2 ルカ15:1-32	4/17/2017	6:00 AM
ルツ3-4 ルカ16:1-18	4/18/2017	6:00 AM
Ⅰサムエル1-2 ルカ16:19-17:10	4/19/2017	6:00 AM
Ⅰサムエル3-5 ルカ17:11-37	4/20/2017	6:00 AM
Ⅰサムエル6-8 ルカ18:1-17	4/21/2017	6:00 AM
Ⅰサムエル9-10 ルカ18:18-43	4/22/2017	6:00 AM
Ⅰサムエル11-13 ルカ19:1-27	4/23/2017	6:00 AM
Ⅰサムエル14 ルカ19:28-48	4/24/2017	6:00 AM
Ⅰサムエル15-16 ルカ20:1-18	4/25/2017	6:00 AM
Ⅰサムエル17 ルカ20:19-47	4/26/2017	6:00 AM
Ⅰサムエル18-19 ルカ21:1-28	4/27/2017	6:00 AM
Ⅰサムエル20-21 ルカ21:29-22:13	4/28/2017	6:00 AM
Ⅰサムエル22-24 ルカ22:14-38	4/29/2017	6:00 AM
Ⅰサムエル25-26 ルカ22:39-62	4/30/2017	6:00 AM
Ⅰサムエル27-28 ルカ22:63-23:12	5/1/2017	6:00 AM
Ⅰサムエル29-31 ルカ23:13-38	5/2/2017	6:00 AM
Ⅱサムエル1-2 ルカ23:39-24:12	5/3/2017	6:00 AM
Ⅱサムエル3-5 ルカ24:13-53	5/4/2017	6:00 AM
Ⅱサムエル6-8 ヨハネ1:1-18	5/5/2017	6:00 AM
Ⅱサムエル9-11 ヨハネ1:19-34	5/6/2017	6:00 AM
Ⅱサムエル12-13 ヨハネ1:35-51	5/7/2017	6:00 AM
Ⅱサムエル14 ヨハネ2:1-25	5/8/2017	6:00 AM
Ⅱサムエル15-16 ヨハネ3:1-21	5/9/2017	6:00 AM
Ⅱサムエル17-18 ヨハネ3:22-4:15	5/10/2017	6:00 AM
Ⅱサムエル19-20 ヨハネ4:16-42	5/11/2017	6:00 AM
Ⅱサムエル21-22 ヨハネ4:43-5:14	5/12/2017	6:00 AM
Ⅱサムエル23-24 ヨハネ5:15-29	5/13/2017	6:00 AM
Ⅰ列王1 ヨハネ5:30-47	5/14/2017	6:00 AM
Ⅰ列王2 ヨハネ6:1-21	5/15/2017	6:00 AM
Ⅰ列王3-5 ヨハネ6:22-40	5/16/2017	6:00 AM
Ⅰ列王6-7 ヨハネ6:41-71	5/17/2017	6:00 AM
Ⅰ列王8 ヨハネ7:1-24	5/18/2017	6:00 AM
Ⅰ列王9-10 ヨハネ7:25-53	5/19/2017	6:00 AM
Ⅰ列王11 ヨハネ8:1-20	5/20/2017	6:00 AM
Ⅰ列王12-13 ヨハネ8:21-38	5/21/2017	6:00 AM
Ⅰ列王14-15 ヨハネ8:39-59	5/22/2017	6:00 AM
Ⅰ列王16-17 ヨハネ9:1-23	5/23/2017	6:00 AM
Ⅰ列王18-19 ヨハネ9:24-41	5/24/2017	6:00 AM
Ⅰ列王20-21 ヨハネ10:1-21	5/25/2017	6:00 AM
Ⅰ列王22 ヨハネ10:22-42	5/26/2017	6:00 AM
Ⅱ列王1-2 ヨハネ11:1-27	5/27/2017	6:00 AM
Ⅱ列王3-4 ヨハネ11:28-57	5/28/2017	6:00 AM
Ⅱ列王5 ヨハネ12:1-19	5/29/2017	6:00 AM
Ⅱ列王6-7 ヨハネ12:20-43	5/30/2017	6:00 AM
Ⅱ列王8-9 ヨハネ12:44-13:17	5/31/2017	6:00 AM
Ⅱ列王10-11 ヨハネ13:18-38	6/1/2017	6:00 AM
Ⅱ列王12-13 ヨハネ14:1-21	6/2/2017	6:00 AM
Ⅱ列王14-15 ヨハネ14:22-15:10	6/3/2017	6:00 AM
Ⅱ列王16-17 ヨハネ15:11-27	6/4/2017	6:00 AM
Ⅱ列王18-19 ヨハネ16:1-16	6/5/2017	6:00 AM
Ⅱ列王20-21 ヨハネ16:17-33	6/6/2017	6:00 AM
Ⅱ列王22-23 ヨハネ17:1-26	6/7/2017	6:00 AM
Ⅱ列王24-25 ヨハネ18:1-24	6/8/2017	6:00 AM
Ⅰ歴代1-2 ヨハネ18:25-40	6/9/2017	6:00 AM
Ⅰ歴代3-5 ヨハネ19:1-22	6/10/2017	6:00 AM
Ⅰ歴代6-7 ヨハネ19:23-42	6/11/2017	6:00 AM
Ⅰ歴代8-10 ヨハネ20:1-23	6/12/2017	6:00 AM
Ⅰ歴代11-12 ヨハネ20:24-21:14	6/13/2017	6:00 AM
Ⅰ歴代13-15 ヨハネ21:15-25	6/14/2017	6:00 AM
Ⅰ歴代16-17 使徒1:1-26	6/15/2017	6:00 AM
Ⅰ歴代18-20 使徒2:1-28	6/16/2017	6:00 AM
Ⅰ歴代21-22 使徒2:29-47	6/17/2017	6:00 AM
Ⅰ歴代23-27 使徒3:1-26	6/18/2017	6:00 AM
Ⅰ歴代28-29 使徒4:1-22	6/19/2017	6:00 AM
