bangou,setsu,kashi
136,1,"血しおしたたる　主のみかしら
とげにさされし　主のみかしら
なやみとはじに　やつれし主を
われはかしこみ　きみとあおぐ"
136,2,"主のくるしみは　わがためなり
われは死ぬべき　つみびとなり
かかるわが身に　かわりましし
主のみこころは　いとかしこし"
136,3,"なつかしき主よ　はかり知れぬ
十字架の愛に　　いかに応えん
この身とたまを　とこしえまで
わが主のものと　なさせたまえ"
136,4,"主よ主のもとに　かえる日まで
十字架のかげに　立たせたまえ
み顔をあおぎ　　み手によらば
いまわのいきも　安けくあらん
　　　　　　　　　　アーメン"
148,1,"すくいのぬしは　 ハレルヤ
よみがえりたもう ハレルヤ
かちどきあげて　 ハレルヤ
み名をたたえよ　 ハレルヤ"
148,2,"十字架をしのび　 ハレルヤ
死にて死にかち　 ハレルヤ
生きていのちを　 ハレルヤ
ひとにぞたまう　 ハレルヤ"
148,3,"主の死によりて　 ハレルヤ
すくいはなりぬ　 ハレルヤ
あまつつかいと　 ハレルヤ
ともにぞうたわん ハレルヤ
　　　　　　　　　アーメン"
162,1,"あまつみつかいよ　イエスの御名の
ちからをあおぎて　主とあがめよ
ちからをあおぎて　主とあがめよ"
162,2,"いのちをささげし　あかしびとよ
ダビデのみすえを　主とあがめよ
ダビデのみすえを　主とあがめよ"
162,3,"世のつみびとらよ　イエスの愛と
なやみをおもいて　主とあがめよ
なやみをおもいて　主とあがめよ"
162,4,"よろずのくにびと　みまえに伏し
みいつをあおぎて　主とあがめよ
みいつをあおぎて　主とあがめよ"
162,5,"とわに世をしらす　イエス君にぞ
かむりをささげて　主とあがめよ
かむりをささげて　主とあがめよ

　　　　　　　　　　　アーメン"
166,1,"イエス君は　いとうるわし
あめつちの主なる
神の御子　　人の子を
なににかはたとえん"
166,2,"春のあさ　露ににおう
花よりうつくし
秋の夜　　空にすむ
月よりさやけし"
166,3,"夏のゆう　青葉わたる
風よりかぐわし
冬の日に　ふりつもる
雪よりきよけし"
166,4,"イエス君は　いとうるわし
あめつちの主こそ
わがさかえ　わがかむり
わが喜びなれ
　　　　　　　アーメン"
201,1,"キリスト･イエスを　もといとして
うちたてられし　みきょうかいは
きみが血をもて　かいたまいし
はなよめたちの　あつまりなり"
201,2,"ことばにいろに　ちがいあれど
みたみのおがむ　主ひとりなり
ひとつにうまれ　ひとつにのび
ひとつにしょくし　ひとつに生く"
201,3,"主のきょうかいは　こころみうけ
あらそいにあい　　なみだすとも
そのまぼろしを　　主はよみして
ついにしょうりを　あたえたまわん"
201,4,"この世とあめに　　わかれすめど
みたみはきよき　　かみにありて
ともにまじわり　　ともにまてり
キリスト･イエスの　きたる日をば"
239,1,"さまよう人々　　　たちかえりて
あめなる御国の　　父を見よや
つみとが悔やめる　心こそは
父より与うる　　　たまものなれ"
239,2,"さまよう人々　　　たちかえりて
父なる御神の　　　御前にゆき
まことの悔いをば　いいあらわせ
世人は知らねど　　知りたまえり"
239,3,"さまよう人々　　　　たちかえりて
主イェスのみもとに　とくひれ伏せ
わが主はあわれみ　　御手をのべて
こぼるる涙を　　　　ぬぐいいたまわん"
239,4,"さまよう人々　　　　たちかえりて
十字架の上なる　　　イェスを見よや
血潮のしたたる　　　御手をひろげ
生命をうけよと　　　招きたもう
　　　　　　　　　　　　
　　　　　　　　　　　　　アーメン"
280,1,"わが身ののぞみは　　ただ主にかかれり
主イエスの外には　　よるべきかたなし
わがきみイエスこそ　すくいの岩なれ
すくいの岩なれ"
280,2,"風いとはげしく　　　なみ立つ闇夜も
みもとにいかりを　　おろして安らわん
わがきみイエスこそ　すくいの岩なれ
すくいの岩なれ"
280,3,"この世ののぞみの　　消えゆくときにも
こころはうごかじ　　みちかいたのめば
わがきみイエスこそ　すくいの岩なれ
すくいの岩なれ"
280,4,"見ぬ世にうつりて　　まみゆるそのとき
主の義をまといて　　みまえに立たまし
わがきみイエスこそ　すくいの岩なれ
すくいの岩なれ
　　　　　　　　　アーメン"
285,1,"主よ、み手もて ひかせたまえ
ただわが主の　 道をあゆまん
いかに暗く     けわしくとも
みむねならば　 われいとわじ"
