bangou,setsu,kashi
73,2,"みつかいーいまなお　おとーずれーきてー
気おちせーるこらに　うたをうとーう
きかずやーみかみの　あいーをつたえー
なぐさめーをみたす　うたのこーえをー"
73,3,"おもにをーせにして　けわーしきーさかー
あえぎつーつのぼる　世のひとーびとー
かがやかーしき日は　みよーちかーづく
みつかいーのうたをー　ききやすーらーえー"
73,4,"予言者らーのつげし　さかーえのー日のー
きたらばー地にすむ　もるくにびとー
へいわのーきみなる　イェスーをたーたえー
みつかいーのうたを　うたいかーえさんー

　　　　　　　　　　　　　　　　　（アーメン）"
75,1,"ノエルーをば　　はじーめに　
うたーいしーは　たーれぞ　
のにーある　　　まずーしき　
ひつーじかーい　　　なーりき
ノエルー！　ノエル！　ノエル！　ノエルー！
主はあもーりまーせり"
75,2,"かれーらは　　おあーぎぬ　
ひがーしのー　そらーより
夜ごーとに　ちかーづく　
ひとーつのー　あかーぼし
ノエルー！　ノエル！　ノエル！　ノエルー！
主はあもーりまーせり"
75,3,"はかーせら　　ほしーをば　
みとーめてー　おもーいぬ
「せかーいの　きみーこそ　
うまれしー　ならーめ」と
ノエルー！　ノエル！　ノエル！　ノエルー！
主はあもーりまーせり"
75,4,"くしーきは　　このーほし
ひがーしのー　はかーせを
主イェースの　うぶーやに
みちーびきー　いたーれり
ノエルー！　ノエル！　ノエル！　ノエルー！
主はあもーりまーせり

　　　　　　　　　　　　　　　　　（アーメン）"
77,1,"みつかいのたたえうとうはたれぞ
ひつじかいたちのおがむはたれぞ
ああそはかみの御子イェスきみなり
ああそは主の主きみのきみなり"
77,2,"むさきうまごやにあれしはたれぞ
たくみのことしてあれはあれしはたれぞ
ああそはかみの御子イェスきみなり
ああそは主の主きみのきみなり"
77,3,"こがねににゅうこうもつやくもちて
はかせがおがみにゆきしはたれぞ
ああそはかみの御子イェスきみなり
ああそは主の主きみのきみなり"
78,1,"いざもろとも　　主をはいせよ
ベツレヘムに　　主あれぬ
かれこそは　　　主の主にませ
ゆきてはいせよ　ゆきてはいせよ
ゆきてはいせよ　かみのこを"
78,2,"あまつつかい　　主をたたえよ
あめにゆきし　　主のたみも
「かみにあれ　　おおみさかえ」と
ゆきてはいせよ　ゆきてはいせよ
ゆきてはいせよ　かみのこを"
78,3,"このうれしき日のあしたに
われらうたわん　イェスきみをげに
げに「ことば」　ひととなりぬ
ゆきてはいせよ　ゆきてはいせよ
ゆきてはいせよ　かみのこを"
86,1,"きみなるイエスは　いまあれましぬ
いざたてまつれ　　たたえのうたを
グローーーーリヤインエクセルシスデオ
グローーーーリヤインエクセルシスデオ"
86,2,"みつかいたちは　よきおとずれを
つげてうたえり　こえたからかに
グローーーーリヤインエクセルシスデオ
グローーーーリヤインエクセルシスデオ"
86,3,"こうものたちは　ダビデのむらの
うまやにゆきて　おがみまつりぬ
グローーーーリヤインエクセルシスデオ
グローーーーリヤインエクセルシスデオ"
86,4,"きみなるイェスも　われらもうたわん
みつかいたちの　　ことにあわせて
グローーーーリヤインエクセルシスデオ
グローーーーリヤインエクセルシスデオ

　　　　　　　　　　　　　　　　（アーメン）"
96,1,"きーよし　このよる　　ほしは　ひかり　
すくいーの　みー子は　まぶねーのなーかに　
ぬむりーたもうー　　　　いーと　やーすくー　"
96,2,"きーよし　このよる　　みつげ　うけし
まきびーとたーちは　み子のーみまーえに
ぬかずーきぬー　かーしこーみて"
96,3,"きーよし　このよる　み子の　えみに
めぐみーのみーよの　あしたーのひーかり
かがやーけりー　　　ほがらーかにー

　　　　　　　　　　　　　　　　　（アーメン）"
109,1,"いばらのはりの　ささるこうべを
おもきうれいに　たれさせたもう
いたくせめられ　やつれはてし
主にありし日の　おもかげなし"
109,2,"いかにしゃすべき　あいする主に
きみはわがため　死にたまいぬ
われをばきみの　ものとなして
ただなれをのみ　あいさしめよ"
109,3,"死ぬまぎわにも　あおがしめよ
十字架につきし　きみがすがた
わが身を御手に　ゆだねしいま
いとやすらかに　世をさるをえん

　　　　　　　　　（アーメン）"
113,1,"十字架にかかりし
主イェスをあおげば
たからもほまれも
あくたとかわらず"
113,2,"十字架のほかには
ほこりのあらぬ身
いかなるものにも
こころはうごかじ"
113,3,"みかしらいばらの
かむりにかがやき
おん手あしうれいと
めぐみをながしつ"
113,4,"めぐみにむくゆる
すべなきこの身は
身とたまささげて
ぬかずくほかなし"
123,1,"いざ人よ　　　ほめまつれ
よみがえりし　勝利の主
見よ墓には何もなく　
ただ衣の残るのみ
いざ人よ　　　ほめまつれ
よみがえりし　勝利の主"
123,2,"イェスはげに　死に勝ちて
はらいませり　黒き闇
よみの勝利　今いずこ　
死は毒針もがれたり
いざ人よ　　　ほめまつれ
よみがえりし　勝利の主　　　　"
123,3,"命の主　　　　栄えの主
たたえ歌わん　いざ立ちて
主に従ごう我らにも　
主の如くに　勝たしめよ
いざ人よ　　　ほめまつれ
よみがえりし　勝利の主　　　　　　　　　　　　　　　　　　　　　　　　　　　　（アーメン）"
126,1,"よびとようたえ　ハレルヤ
みつかいたちも　ハレルヤ
キリストこの日　ハレルヤ
よみがえりたり　ハレルヤ"
126,2,"すくいのわざの　ハレルヤ
とげられしいま　ハレルヤ
みくにのかども　ハレルヤ
ひろくあきたり　ハレルヤ"
126,3,"死のはりいずこ　ハレルヤ
しりぞけよみよ　ハレルヤ
きみはいくさに　ハレルヤ
うちかちませり　ハレルヤ"
126,4,"さきだつきみに　ハレルヤ
したごうわれら　ハレルヤ
きみのごとくに　ハレルヤ
よみがえるべし　ハレルヤ

　　　　　　 （アーメン）"
127,1,はかのなかに　いとひくく
136,1,"みつかいよふして　主をかしこみ
かむりをささげて　ほめよイェスを
かむりをささげて　ほめよイェスを"
136,2,"イスラエルびとよ　ながやからも
あがなわれたれば　ほめよイェスを
あがなわれたれば　ほめよイェスを"
136,3,"つみびとよ　　なれがつみゆるしし
みめぐみおもいて　ほめよイェスを
みめぐみおもいて　ほめよイェスを"
136,4,"世のなかのたみは　こえあわせて
みいつをかしこみ　ほめよイェスを
みいつをかしこみ　ほめよイェスを"
136,5,"みくにのせいとも　地のみたみも
ちからのかぎりに　ほめよイェスを
ちからのかぎりに　ほめよイェスを

　　　　　　　　　　（アーメン）"
138,1,"すくいぬしイエスを　
あおぎみれば
おごそかのうちに　
やさしさあり
やさしさあり"
138,2,"ひとのこのなかに　
もとめうるや
かかるうるわしき　
みすがたをば
みすがたをば"
138,3,"ほろびゆくわれを　
あがなわんとて
十字架のはじをも　
うけたまえり
うけたまえり"
138,4,"きみはわがいのち　
またよろこび
おいせまる死にも　
かたせたもう
かたせたもう"
138,5,"きみはこのみをば　
みくにに召し
よろこびをまたく　
みたしたもう
みたしたもう
　　　（アーメン）"
148,1,
160,1,"キリストイェスを　もといとして
うちたてられし　　みきょうかいは
きみが血をもて　　買いたまいし
はなよめたちの　　あつまりなり"
160,2,"ことばにいろに　　ちがいあれど
みたみのおがむ主ひとりなり
ひとつにうまれ　　ひとつにのび
ひとつにしょくし　ひとつに生く"
160,3,"主のきょうかいは　こころみうけ
あらそいにあい　　なみだすとも
そのまぼろしを　　主はよみして
ついにしょうりを　あたえたまわん"
160,4,"この世とあめに　わかれすめど
みたみはきよきかみにありて
ともにまじわり　ともにまてり
キリストイェスのきたる日をば"
196,1,"おどろくばかりの　
めぐみなりき
この身のけがれを　
しれるわれに"
196,2,"めぐみはわがみの　
おそれを消し
まかするこころを　
おこさせたり"
196,3,"危険をもわなをも　
さけえたるは
めぐみのみわざと　
いうほかなし"
196,4,"みくににつくあさ　
いよよたかく
めぐみのみかみを　
たたえまつらん
　　　（アーメン）"
201,1,"つみとがをゆるされ
神の子となりたる
わがたまの喜び
比べうるものなし
日もすがらあかしせん
夜もすがら主をほめん
み救いはたえなり
み救いはくすしと"
201,2,"主にまたくしがたい
やすきえしわがみに
あまつやのうたごえ
響きくるここちす
日もすがらあかしせん
夜もすがら主をほめん
み救いはたえなり
み救いはくすしと"
201,3,"主のものとせられし
わが身こそさちなれ
感謝なき日はなく
賛美なき夜はなし
日もすがらあかしせん
夜もすがら主をほめん
み救いはたえなり
み救いはくすしと
　　　　（アーメン）"
205,1,"のぞみはただ主の　　血と義にあるのみ
いかでか他のもの　　たよりとなすべき
イエスこそいわなれ　堅固なるいわなれ
ほかはすな地なり"
205,2,"みかおをみぬ日も　　めぐみの手はあり
なみかぜなにかは　　いかりのあるみに
イエスこそいわなれ　堅固なるいわなれ
ほかはすな地なり"
205,3,"みちかいたのめば　おおみずもおそれじ
ものみなきゆとも　　のぞみは主にあり
イエスこそいわなれ　堅固なるいわなれ
ほかはすな地なり"
205,4,"ラッパの音ひびく日　義のきぬまといて
おそれずみまえに　このみはたつをえん
イエスこそいわなれ　堅固なるいわなれ
ほかはすな地なり
　　　　　　　　　　　　　(アーメン)"
211,1,"わがみをみちびく主はともにませば
あめなるなぐさめつねにわれにあり
みちびく主のてにすべてをまかせて
たびをつづけうるわがみぞたのしき"
211,2,"かげなるたにまもあらしのあらのも
などておそるべき主はともにませば
みちびく主のてにすべてをまかせて
たびをつづけうるわがみぞたのしき"
211,3,"わがみのおかるるちはいずこぞある
などてつぶやきのあるべきこのみに
みちびく主のてにすべてをまかせて
たびをつづけうるわがみぞたのしき"
211,4,"さむきかわぎしにわれたつときにも
やすくわたるをえん主のてにすがらば
みちびく主のてにすべてをまかせて
たびをつづけうるわがみぞたのしき
                       （アーメン）"
230,1,"たのしきいのりよ　　うきこのよはなれ
みくらにちかづき　　かみとかたらしむ
なやみてありしひ　　ここにていくたび
こころむるものの　　わなよりのがれし"
230,2,"たのしきいのりよ　　ながはねははこぶ
かわけるこころを　　わが主のみまえに
みことば唯いつの　　てがかりとなして
もとむるこのみに　　やすきをもたしむ"
230,3,"たのしきいのりよ　　わが目はみわたす
ピスガのみねより　　あめなるみくにを
このみはまもなく　　にくのきぬをぬぎ
さけびつつのぼらん　さらばやうきよと
　　　　　　　　　　　　　（アーメン）"
232,1,"祈れ　ものごと　みなままならず
むねにうれいの　雲とざすとき
祈れよしみちは　くらくあるとも
祈れすべてを　　主の手にゆだねて"
232,2,"祈れ　こころを　しずめて神の
むねはいかにと　知りうるまでは
祈れよしみちは　くらくあるとも
祈れすべてを　　主の手にゆだねて"
232,3,"祈れ　おのれの　ことよりむしろ
人をとりなす　　みとなるまでは
祈れよしみちは　くらくあるとも
祈れすべてを　　主の手にゆだねて"
232,4,"祈れ　みわざは　必ずなると
信じて感謝を　　なしうるまでは
祈れよしみちは　くらくあるとも
祈れすべてを　　主の手にゆだねて
　　　　　　　　　　　(アーメン）"
250,1,"いのちのいずみに　ましますイエスよ
ゆたかにながれて　うるおしたまえ
まことのことばに　かわきしわれも
いとをばととのえ　めぐみをうたわん"
250,2,"かみよりはなれて　　まよいしわれを
イエスきみみいだし　たまいし日より
めぐみにもれたる　　ときはなかりき
いざうちたてまし　　エベネゼルをば"
250,3,"たれかは断(た)ちうる　めぐみのいとを
さらにむすびつけん　　このみをかみに
かよわきわがみを　　　みちびきたまえ
あめなるみくにに　　　ゆきつく日まで
　
　　　　　　　　　　　　（アーメン）"
253,1,"さびしきよみちあゆむわがみを
みちびきませあいなるひかりよ
ひとあしふみだしえば
かなたをみずともよし"
253,2,"みちびきかみに請わずながくも
ほこりてわれとみちをえらびし
おろかさわすれたまえ
いまこそさしずを待たん"
253,3,"ぬまちもたかきやまもなにかは
みちからなおもこのみまもれば
まもなくやみはさりて
いのちのあさはひらけん"
261,1,"わがため　十字架の　なやみと　はじを
うけさせ　たまいし　わが主の　あいよ
ちしおの　いさおに　ほろびの　火より
のがれし　わがみは　うたわざらめや"
261,2,"みむねに　いこえる　こころは　たのし
みたまに　みたされ　なぐさめ　つきじ
めぐみの　みことば　たえなる　うたを
ききうる　わがみは　うたわざらめや"
261,3,"うきよの　あらしは　ふくとも　やすし
主のてに　まかしし　みとたま　なれば
こころを　さまして　いのりの　うちに
ひび主を　まつみは　うたわざらめや
　　　　　　　　　　　　（アーメン）"
273,1,"きょうまでまもられ　きたりしわがみ
つゆだにうれえじ　　ゆくすえなどは
いかなるおりにも　　あいなるかみは
すべてのことをば　　よきにしたまわん"
273,2,"かよわきものをも　かえりみたもう
わが主のめぐみは　このみにたれり
にぎおうさとにも　さびしき野にも
主の手にすがりて　よろこびすすまん"
273,3,"主の日ぞいよいよ　まぢかにせまる
うきよのたびじも　しばしのまのみ
まもなくさかえの　みくににゆきて
ときわにたえせず　わが主とすまわん"
276,1,"なしたまえながむね
すえつくりわが主よ
われはただなが手の
うちにあるつちくれ"
276,2,"ふるゆきのごとくに
わがうちをしろくし
ながむねのまにまに
ねりたまえわが主よ"
276,3,"あまくだる火をもて
わがうちをきよくし
なしたまえなが手の
うつわなるわがみと"
276,4,"ながむねのなるとき
他のひとはみるべし
わがうちにますきみ
キリストのすがたを

　　　（アーメン）"
277,1,"主よささぐる　わがみとたま
愛のみてに　　おさめたまえ
さちにまがに　われは祈らん
主よみこころ　なしたまえと"
277,2,"雲にかすみ　　さだかならぬ
わがのぞみも　けしたまわず
なみだの意味　よく知りたもう
主よみこころ　なしたまえや"
277,3,"われゆくては　つゆしらねど
ただみむねを　たよりにゆかん
あまついえの　かどにていわん
主よみこころ　なしませりと"
281,1,"すすめ主イエスのへいしらよ
みよじゅうじかはまえにゆく
てきにむかいてすすみいる
主にしたがいていざすすまん
すすめ主イエスのへいしらよ
みよ十字架は前にゆく"
281,2,"たけきむかしのせいとらが
すすみしみちをすすむなり
おなじひとつのしんじょうと
あいとのぞみにたつわれら
すすめ主イエスのへいしらよ
みよ十字架は前にゆく"
281,3,"おこりしくにもほろびゆき
さかえしたみもわすれらる
ただ主のくにのいきおいは
よみのちからも裂くをえじ
すすめ主イエスのへいしらよ
みよ十字架は前にゆく"
281,4,"われらとともに世のひとよ
かちうたたかくさけびつつ
ほまれとさかえけんりょくは
おうなるイエスにあれといわん
すすめ主イエスのへいしらよ
みよ十字架は前にゆく"
282,1,"ゆけわがたま　てやあくを
むかしかみのしもべたちは
ひとやもほのおもつゆおそれざりき"
282,2,"このちちらの子たるわれら
いかでか避けん主のいくさに
くわわりたたこうさかえのつとめを"
282,3,"ふせいふぎをねだやしせよ
いつわりごとみなほろぼせ
きみはみてをのべちからづけたまわん"
282,4,"このいくさのおわるひには
かむろを主の手よりうけて
へいわのさとにてとこしなえにすまん"
309,1,"まけやたねをあしたはやく
まけやあいとしんせつを
とききたりてみをむすばば
よろこびもてかみをほめん
かりいるるとききなば
よろこびもてかみをほめん
かりいるるとききなば
よろこびもてかみをほめん"
309,2,"まけやたねをひるになおも
まけやかみのみことばを
とききたりてかりいるる日
よろこびもてかみをほめん
かりいるるとききなば
よろこびもてかみをほめん
かりいるるとききなば
よろこびもてかみをほめん"
309,3,"たねたずさえなみだながし
いでゆけどもかえるとき
かかえきれぬたばのゆえに
よろこびもてかみをほめん
かりいるるとききなば
よろこびもてかみをほめん
かりいるるとききなば
よろこびもてかみをほめん（アーメン）"
376,0,"ちち　みこ　みたまの
おおみかみに　とこしえかわらず
みさかえあれ　みさかえあれ
　　　　　　　　　　　アーメン"
377,0,"　　すべてのめぐみの
　　もとなるみかみを
　　つくられしものよ
　　いざたたえまつれ　
　　　　
　　　　　　　アーメン"
392,1,"かみはひとりごを　たもうほどに
よびとをあいしたもう　かみは愛なり
ああかみはあいなり　　けがれはてし
われさえ愛したもう　　かみは愛なり"
392,2,"つみをばおかして　かみにそむき
てきとうわれさえ　なお愛したもう
ああかみはあいなり　けがれはてし
われさえ愛したもう　かみは愛なり"
392,3,"つみゆるさんために　われにかわり
イエスきみ十字架に　死にたまえり
ああかみはあいなり　けがれはてし
われさえ愛したもう　かみは愛なり"
392,4,"いざとくきたりて　かみのあいに
ながみをゆだねよ　すくわるべし
ああかみはあいなり　けがれはてし
われさえ愛したもう　かみは愛なり"
396,1,"十字架のかげに　いずみわきて
いかなる罪も　　きよめつくす
おらせたまえ　　この身を主よ
十字架のかげに　とこしえまで"
396,2,"十字架のかげに　ゆきしときに
みかみの愛を　　さとりえたり
おらせたまえ　　この身を主よ
十字架のかげに　とこしえまで"
396,3,"十字架のかげを　もとめつづけん
けわしきさかを　のぼるときも
おらせたまえ　　この身を主よ
十字架のかげに　とこしえまで"
396,4,"十字架のかげを　いかではなれん
みくにのかどに　いる日までは
おらせたまえ　　この身を主よ
十字架のかげに　とこしえまで
　　　　　　　　　(アーメン）"
402,1,"おかにたてる　あらけずりの
十字架にかかりて
救い主は　　　ひとのために
すてませりいのちを
十字架にイエス君　我をあがないたもう
十字架の悩みは　　わが罪のためなり"
402,2,"よびと笑い　　あざけるとも
十字架はしたわし
こひつじイェス神のみこが
つけられし木なれば
十字架にイエス君　我をあがないたもう
十字架の悩みは　　わが罪のためなり"
402,3,"あけにそみし　あらけずりの
十字架はうるわし
ゆるしあたえ　きよくするは
ただ主の血あるのみ
十字架にイエス君　我をあがないたもう
十字架の悩みは　　わが罪のためなり"
402,4,"せめもはじも　つらくあらじ
十字架にかわりて
たまのかむり　うくるときを
日々まてる我が身は
十字架にイエス君　我をあがないたもう
十字架の悩みは　　わが罪のためなり
　　　　　　　　　　　　（アーメン）"
417,1,"おかしたつみ　おもいだしては
かなしむけれど
なみだのなかに　すくいはない
イェスキリストに　おすがりすれば　　　　　　　　　　すくいは　すぐに　あたえられる

　"
417,2,"ちからかぎり　ぜんじをはげみ
しゅうようしても
よいおこないに　すくいはない
イェスキリストに　おすがりすれば
すくいは　すぐに　あたえられる"
417,3,"しぬまでには　なんとかなると
ただまつひとに
かみのすくいは　おとずれない
イェスキリストに　おすがりすれば
すくいは　すぐに　あたえられる"
417,4,"ひとにかわって　なみだをながし
なやみをうけた
キリストだけが　すくいぬしだ
イェスキリストに　おすがりすれば
すくいは　すぐに　あたえられる
　　　　　　　　　　（アーメン）"
418,1,"あなたの罪過ちは
始末されてあるか
神なるキリスト･イェスを
信じ救われたか
罪を悔いて　だれもすがれイェスに
イェスは十字架の血潮で　罪を清め給う"
418,2,"あなたは毎日イェスの
側（そば）を歩いてるか
イェスの十字架をばいつも
見て暮らしておるか
罪を悔いて　だれもすがれイェスに
イェスは十字架の血潮で　罪を清め給う　"
418,3,"花婿なるキリストを
迎えに出られるか
罪の染（し）みのない服を
毎日着ておるか
罪を悔いて　だれもすがれイェスに
イェスは十字架の血潮で　罪を清め給う　"
418,4,"少しでも罪の染みが
ついておったならば
イェスの血潮で白くし
主に喜ばれよう
罪を悔いて　だれもすがれイェスに
イェスは十字架の血潮で　罪を清め給う
　　　　　　　　　　　　　(アーメン）　"
424,1,"告げよ主に　告げよ今　内にある悩みを
みめぐみに富める主は　聞き給わん親しく
主の許（もと）に　　　おろせ汝（な）が
重き荷の全てを
御恵みに富める主は　　取りたまわん残らず"
424,2,"告げよ主に　友にさえ　語り得ぬ事ども
御恵みは深き海　　　　飛び込みてきよまれ
主の許（もと）に　　　おろせ汝（な）が
重き荷の全てを
御恵みに富める主は　　取りたまわん残らず"
424,3,"こころみを　受けし主は　罪人の友なり
試むる者　何処（いずこ）あたよとく退け
主の許（もと）に　　　　おろせ汝（な）が
重き荷の全てを
御恵みに富める主は　　取りたまわん残らず"
424,4,"告げよ主に　告げよ今　なぐさめは　主にあり
力ある御手をのべ　　　主はささえんなが身を
主の許（もと）に　　　おろせ汝（な）が
重き荷の全てを
御恵みに富める主は　　取りたまわん残らず
　　　　　　　　　　　　　　　（アーメン）"
426,1,"十字架にかかりたる　　
救い主を見よや
こはなが犯したる　罪の為
ただ信ぜよ　ただ信ぜよ
信ずる者はたれも　皆救われん"
426,2,"死よりよみがえりし　
いのちの主知らずや
罪に死せる人よ　今あおげ
ただ信ぜよ　ただ信ぜよ
信ずる者はたれも　皆救われん　"
426,3,"イェスは罪の為に　
苦しめる者をば
哀れみて救わんと　まねきたもう
ただ信ぜよ　ただ信ぜよ
信ずる者はたれも　皆救われん"
426,4,"罪より救われて　　　
限りなき命を
望む者はイェスに　今すがれ
ただ信ぜよ　ただ信ぜよ
信ずる者はたれも　皆救われん
　　　　　　　　（アーメン）　"
427,1,"つみ、おもにをのぞくは　
血のちから　主のちは　
あくまのわざをこぼつ
くしきちからなり
ちからある　主イエスの血
うけよ　うけよ
ちからある　主イエスの血
うけよ　いまうけよ"
427,2,"にくのよくをのぞくは
血のちから　主のちは
つみ けがれをきよむる
くしきちからなり
ちからある　主イエスの血
うけよ　うけよ
ちからある　主イエスの血
うけよ　いまうけよ"
427,3,"ゆきよりしろくするは　
血のちから　主のちは
つみのしみを　ぬきさる
くしきちからなり
ちからある　主イエスの血
うけよ　うけよ
ちからある　主イエスの血
うけよ　いまうけよ"
427,4,"主にまことをつくすに
血のちから　主のちは
ひごとわれをたすくる
くしきちからなり
ちからある　主イエスの血
うけよ　うけよ
ちからある　主イエスの血
うけよ　いまうけよ　　（アーメン）"
430,1,"とうとき泉あり　　　そのうちより
インマヌエルの血ぞ　あふれながる
罪に悩むもの　くぐりいらば
けがれはあらわれん　しみはけされん"
430,2,"いまわのきわにて　　ぬすびとさえ
よろこびあおぎし　　泉なれば
ためらわでわれも　　かれのごとく
ことごとあらわれん　けがれをみな"
430,3,"殺されたまいし　　こひつじなる
主の血の力に　　　かわりあらじ
世より選ばれし　　神のたみの
きよめのめぐみを　うくるまでは"
430,4,"主よなが傷より　　ながるる血を
信仰の目をあげて　あおぎしより
あがないの愛は　　わがこころを
なぐさめみちびく　うたとなりぬ"
430,5,"まわらぬしたもて　歌いぬれど
さかえのみくにに　うつされなば
こころゆくばかり　いともたえに
救いのちからを　　たたえうたわん
　　　　　　　　　　　（アーメン）"
433,1,"悩める人々　　みなをききなば
喜びのもとは　イエスなりと知らん
主なるイェスを　うけいれまつれ
主なるイェスを　こころの中に"
433,2,"みなをばこころの　守りとなして
こころむるものに　勝ちをえよかし
主なるイェスを　うけいれまつれ
主なるイェスを　こころの中に"
433,3,"救い主イェスの　　かいなの中に
やすろうにまさる　幸は世になし
主なるイェスを　うけいれまつれ
主なるイェスを　こころの中に"
433,4,"世をさりてあまつ　くににゆくとき
高らかにたたえん　主のきよき名を
主なるイェスを　うけいれまつれ
主なるイェスを　こころの中に
　　　　　　　　　　（アーメン）"
435,1,"でしとなしたまえ　わが主よわが主よ
でしとなしたまえ　わが主よ
こころの　　　　　そこより
でしとなしたまえ　わが主よ"
435,2,"あいをましたまえ　わが主よわが主よ
あいをましたまえ　わが主よ
こころの　　　　　そこより
でしとなしたまえ　わが主よ"
435,3,"きよくなしたまえ　わが主よわが主よ
きよくなしたまえ　わが主よ
こころの　　　　　そこより
でしとなしたまえ　わが主よ"
435,4,"ユダにはなるまじ　わが主よわが主よ
ユダにはなるまじ　わが主よ
こころの　　　　　そこより
でしとなしたまえ　わが主よ"
435,5,"主をばならいたし　わが主よわが主よ
主をばならいたし　わが主よ
こころの　　　　　そこより
でしとなしたまえ　わが主よ"
449,1,"つみのけがれを　　あらいきよむるは
イェスキリストの　ちしおのほかなし
イェスのちしお　　ほむべきかな
われをあらい　　　ゆきのごとくせり"
449,2,"あまつへいわを　　こころにみたすは
イェスキリストの　ちしおのほかなし
イェスのちしお　　ほむべきかな
われをあらい　　　ゆきのごとくせり"
449,3,"よせくるあたを　　みごとにふせぐは
イェスキリストの　ちしおのほかなし
イェスのちしお　　ほむべきかな
われをあらい　　　ゆきのごとくせり"
449,4,"みくににゆきて　　もろともほむるは
イェスキリストの　ちしおのほかなし
イェスのちしお　　ほむべきかな
われをあらい　　　ゆきのごとくせり
　　　　　　　　　　　（アーメン）"
459,1,"救い主の愛と　　　
ながしませる血とを
生ける限り我は　　
かさねがさね歌わん
イェスは我の　とがをあらいさりて
雪のごとく　　白くならせたもう"
459,2,"きみの血潮こそは　　
人をまたく救い
いざのう者の手より　
守る力なれや
イェスは我の　とがをあらいさりて
雪のごとく　　白くならせたもう"
459,3,"この世ながらあまつ　　
喜びにみつれど
やがてイエスをあおぐ　
そのさちやいかならん
イェスは我の　とがをあらいさりて
雪のごとく　　白くならせたもう"
459,4,"戦いおえてあまつ　　
家にかえる朝よ
きみはみてをのべて　
我を迎えたまわん
イェスは我の　とがをあらいさりて
雪のごとく　　白くならせたもう"
459,5,"きみの手よりかちの　
かむり受くる日まで
きよきはたをたかく　
かかげつつ戦わん
イェスは我の　とがをあらいさりて
雪のごとく　　白くならせたもう
　　　　　　　　　　（アーメン）"
466,1,"まどいのくも　消えて今は
こころいともやすし
うたい叫ばん　イエスの血にて
われ　あがなわれたり
歌わん　歌わん　
われ　あがなわれたり　ハレルヤ
こえの限り　歌い叫ばん
われ　あがなわれたり"
466,2,"くつる金や　銀のごとき
世のたからによらで
子羊なる　イエスの血にて
われ　あがなわれたり
歌わん　歌わん　
われ　あがなわれたり　ハレルヤ
こえの限り　歌い叫ばん
われ　あがなわれたり"
466,3,"とがと罪は　みなゆるされ
義とせられしことを
かたく信ず　イエスの血にて
われ　あがなわれたり
歌わん　歌わん　
われ　あがなわれたり　ハレルヤ
こえの限り　歌い叫ばん
われ　あがなわれたり"
466,4,"あまつくにに　ゆきてのちも
あがないの歌をば
高く歌わん　イエスの血にて
われ　あがなわれたり
歌わん　歌わん　
われ　あがなわれたり　ハレルヤ
こえの限り　歌い叫ばん
われ　あがなわれたり　　　（アーメン）"
469,1,"さかえのおうにます　主の　
みことばにかたく　　たちて
かみにはみさかえ　　あれと
たかくうたいさけばん
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて"
469,2,"よはかわるとも　　かわらぬ
みことばにかたく　たちて
まどいおそれの　　あらしに
こころはみだされじ
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて"
469,3,"またくつみを　　　きよめんとの
みことばにかたく　たちて
きみのちしおを　　うけしに
じゆうのみとなれり
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて"
469,4,"あいもて主に　　　むすびつき
みことばにかたく　たちて
あくまにむかえば　つねに
かちえてあまりあり
たてたて　　とわにかわらぬみことばを
しんじたて　かみのみことばにたて
　　　　　　　　　　　　（アーメン）"
472,1,"きよいふみはおしえる　
かみがひととなられて
ひとのためにすくいの　
みちをじょうじゅしたこと
わたしをもあいして　死なれたおかたは
かみの子のイェスさま　ひとりだけだ"
472,2,"そんなあいをわすれて　
みちにそれたわたしを
とがめだてもしないで　
むかえいれてくださる
わたしをもあいして　死なれたおかたは
かみの子のイェスさま　ひとりだけだ"
472,3,"かみのまえにいくとき　
うたうひとつおぼえの
うたはイェスがわたしを　
あいしたもうそのこと
わたしをもあいして　死なれたおかたは
かみの子のイェスさま　ひとりだけだ
　　　　　　　　　　　　（アーメン）"
480,1,"かなしみつきざる　うきよにありても
ひび主とあゆめば　みくにのここちす
ハレルヤつみとが　けされしわがみは
いずくにありても　みくにのここちす"
480,2,"かなたのみくには　みかおのほほえみ
はいするこころの　なかにもたてらる
ハレルヤつみとが　けされしわがみは
いずくにありても　みくにのここちす"
480,3,"やまにもたににも　こやにもみやにも　
ひび主とすまえば　みくにのここちす
ハレルヤつみとが　けされしわがみは
いずくにありても　みくにのここちす
　　　　　　　　　　　（アーメン）"
489,1,"人生の海の嵐に
もまれきしこの身も
不思議なる神の手により
いのちびろいしぬ
いとしずけきみなとにつき
われは今やすろう
救い主イエスの手にある
身はいともやすし"
489,2,"悲しみと罪の中より
救われしこの身に
いざないの声もたましい
ゆすぶることえじ
いとしずけきみなとにつき
われは今やすろう
救い主イエスの手にある
身はいともやすし"
489,3,"すさまじき罪のあらしの
もてあそぶまにまに
死をまつはたれぞただちに
逃げ込めみなとに
いとしずけきみなとにつき
われは今やすろう
救い主イエスの手にある
身はいともやすし　（アーメン）"
493,1,"やすけさはかわのごとく
こころひたすとき
かなしみはなみのごとく
わがむねみたすとき
すべてやすし
みかみともにませば"
